"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",1647.61588164841,0.000228475979006194,13,0,"relative convergence (4)",0.0186166666666395
"2","2",1668.07468118642,0.000726192333242515,23,0,"relative convergence (4)",0.00934999999978269
"3","3",1583.95363446386,0.000577533069213043,90,0,"relative convergence (4)",0.0109999999995731
"4","4",1283.84165637951,0.000373584615769786,242,0,"relative convergence (4)",0.0159499999999146
"5","5",1270.5752411195,0.000739278098255802,245,0,"relative convergence (4)",0.0158333333335274
"6","6",1266.14492181158,0.00357657722563864,249,0,"relative convergence (4)",0.0170333333332868
"7","7",1247.17638203994,0.00413073003531927,252,0,"relative convergence (4)",0.0183499999999185
"8","8",1049.76673996517,0.0130234047025883,255,0,"relative convergence (4)",0.0254833333334924
"9","9",1024.23260682231,0.0275047890431157,259,0,"relative convergence (4)",0.0242500000002716
"10","10",1023.16936021612,0.00482141689580473,263,0,"relative convergence (4)",0.0206166666665619
"11","RE",NA,NA,NA,NA,NA,NA
