"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2176.39242811353,0.000975588897603075,14,0,"relative convergence (4)",0.0336166666666638
"2","2",2169.01325061872,0.00435606806681221,24,0,"relative convergence (4)",0.0182166666666793
"3","3",1879.14693294664,0.0078684341242159,92,0,"relative convergence (4)",0.0189333333333404
"4","4",1504.90064147876,0.00470730547901153,245,0,"relative convergence (4)",0.0314833333333202
"5","5",1496.6856871751,0.00531662675562217,248,0,"relative convergence (4)",0.0335833333333236
"6","6",1471.35717229178,0.00484883326334928,252,0,"relative convergence (4)",0.0342999999999847
"7","7",1468.91899793065,0.00239986712790746,255,0,"relative convergence (4)",0.0338833333333544
"8","8",1303.6649569952,0.0428328760685996,258,0,"relative convergence (4)",0.0395833333333333
"9","9",1276.94126681786,0.0266550126522009,262,0,"relative convergence (4)",0.0369333333333088
"10","10",1275.34683494719,0.00598743353322817,266,0,"relative convergence (4)",0.0362666666666882
"11","RE",NA,NA,NA,NA,NA,NA
